Animal ID,Name,DateTime,MonthYear,Found Location,Intake Type,Intake Condition,Animal Type,Sex upon Intake,Age upon Intake,Breed,Color
A832714,Wrangler,4/18/2021 21:33,4/18/2021 21:33,5900 Kellam Road in Travis (TX),Public Assist,Normal,Dog,Intact Male,9 months,German Shepherd/Belgian Malinois,Brown
A832704,Max,4/18/2021 14:21,4/18/2021 14:21,Collinfield And Little Elan in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Miniature Poodle,White
A832702,Glenda,4/18/2021 14:21,4/18/2021 14:21,Collinfield And Little Elan in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Rottweiler,Black/Tan
A832701,Little Girl,4/18/2021 14:16,4/18/2021 14:16,1831 Wells Branch in Austin (TX),Stray,Normal,Dog,Spayed Female,5 years,Chihuahua Shorthair,Black
A832695,Indie,4/18/2021 14:07,4/18/2021 14:07,1201 West 38Th Street in Austin (TX),Public Assist,Normal,Dog,Intact Female,6 years,Jack Russell Terrier,White/Brown
A832696,Putt,4/18/2021 13:11,4/18/2021 13:11,Normandy Street in Austin (TX),Public Assist,Normal,Cat,Spayed Female,2 years,Domestic Longhair,Blue
A832694,Sweetie,4/18/2021 13:11,4/18/2021 13:11,Normandy Street in Austin (TX),Public Assist,Normal,Cat,Spayed Female,9 years,Domestic Longhair,Tortie
A832697,Little One,4/18/2021 13:11,4/18/2021 13:11,Austin (TX),Public Assist,Normal,Dog,Spayed Female,10 years,Dachshund/Chihuahua Shorthair,Black/White
A832698,Rat,4/18/2021 13:11,4/18/2021 13:11,Austin (TX),Public Assist,Normal,Dog,Neutered Male,10 years,Rat Terrier Mix,Tricolor
A832680,,4/18/2021 8:11,4/18/2021 8:11,12909 Campos Drive in Austin (TX),Stray,Normal,Cat,Intact Female,4 weeks,Russian Blue,Gray
A832683,Rocky,4/18/2021 8:03,4/18/2021 8:03,7604 Wynne Lane in Austin (TX),Owner Surrender,Injured,Dog,Intact Male,2 months,German Shepherd,White/Tan
A832682,,4/18/2021 7:56,4/18/2021 7:56,Zyle Road in Travis (TX),Stray,Injured,Cat,Intact Male,6 years,Domestic Longhair,Brown Tabby
A832672,Lucy,4/18/2021 3:28,4/18/2021 3:28,7104 Whispering Oaks Drive in Austin (TX),Public Assist,Normal,Dog,Spayed Female,5 years,Pug/Chihuahua Shorthair,Brown Brindle
A832671,Pepper,4/18/2021 3:28,4/18/2021 3:28,7104 Whispering Oaks Drive in Austin (TX),Public Assist,Normal,Dog,Spayed Female,8 years,Pug,Black
A832667,Cupcake,4/17/2021 18:33,4/17/2021 18:33,Austin (TX),Abandoned,Normal,Cat,Spayed Female,6 months,Domestic Shorthair,Black/White
A832665,Moo Girl,4/17/2021 18:33,4/17/2021 18:33,Austin (TX),Abandoned,Normal,Cat,Spayed Female,6 months,Domestic Shorthair,Black/White
A832666,Wilfie,4/17/2021 18:33,4/17/2021 18:33,Austin (TX),Abandoned,Normal,Cat,Spayed Female,4 months,Domestic Shorthair,Tortie/White
A832664,Lala,4/17/2021 18:33,4/17/2021 18:33,Austin (TX),Abandoned,Normal,Cat,Spayed Female,6 months,Domestic Shorthair,Brown/White
A832668,Bacon,4/17/2021 18:33,4/17/2021 18:33,Austin (TX),Abandoned,Normal,Cat,Spayed Female,3 months,Domestic Shorthair,Tortie/White
A832662,,4/17/2021 17:51,4/17/2021 17:51,124 West Anderson Lane in Austin (TX),Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Brown Tabby/White
A832686,,4/17/2021 17:51,4/17/2021 17:51,124 West Anderson Lane in Austin (TX),Stray,Nursing,Cat,Intact Male,1 day,Domestic Shorthair,Black
A832663,Cocoa,4/17/2021 17:12,4/17/2021 17:12,North Ih35 Frontage Road in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Cavalier Span/English Springer Spaniel,White/Brown
A740886,Choco,4/17/2021 16:35,4/17/2021 16:35,Shore District And Town Creek Drive in Austin (TX),Abandoned,Normal,Dog,Neutered Male,4 years,Pit Bull Mix,White/Brown
A832658,Dulce,4/17/2021 15:15,4/17/2021 15:15,12804 Starbrimson in Austin (TX),Stray,Normal,Dog,Intact Male,16 years,Chow Chow Mix,Brown/White
A832659,*Cali,4/17/2021 14:46,4/17/2021 14:46,5310 Northdale Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Pit Bull/Plott Hound,White/Brown Brindle
A832656,,4/17/2021 14:03,4/17/2021 14:03,1907 S L Davis Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby
A832657,,4/17/2021 14:03,4/17/2021 14:03,1907 S L Davis Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,1 week,Domestic Shorthair,Brown Tabby
A832653,,4/17/2021 13:03,4/17/2021 13:03,10601 Macmora Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Dachshund Mix,Black/Brown
A832646,,4/17/2021 12:47,4/17/2021 12:47,4902 Dove Creek Court in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,Maltese Mix,Brown
A832648,*Conchita,4/17/2021 12:47,4/17/2021 12:47,5000 Lark Creek Court in Austin (TX),Stray,Nursing,Dog,Intact Female,2 years,Dachshund Wirehair Mix,White/Brown
A832650,,4/17/2021 12:47,4/17/2021 12:47,5000 Lark Creek Court in Austin (TX),Stray,Nursing,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Blue Tick
A832649,,4/17/2021 12:47,4/17/2021 12:47,5000 Lark Creek Court in Austin (TX),Stray,Nursing,Dog,Intact Female,1 month,Australian Cattle Dog Mix,White/Red Tick
A832647,Pepper,4/17/2021 12:03,4/17/2021 12:03,300 Ferguson Drive in Austin (TX),Stray,Normal,Dog,Intact Male,1 year,Shih Tzu Mix,White/Black
A832643,Charlie,4/17/2021 11:50,4/17/2021 11:50,4902 Dove Creek Ct in Austin (TX),Stray,Injured,Dog,Unknown,5 years,Miniature Poodle,White
A832642,,4/17/2021 9:52,4/17/2021 9:52,74 Trinity Street in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Black
A832633,Ellie,4/16/2021 22:00,4/16/2021 22:00,1230 East Martin Luther King Jr Boulevard in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Shepherd,Black/Brown
A832624,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Female,2 years,Domestic Shorthair,Tortie
A832628,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange Tabby/White
A832630,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Black
A832629,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Female,4 weeks,Domestic Shorthair,White/Black
A832627,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Cream Tabby
A832631,,4/16/2021 17:25,4/16/2021 17:25,11739 Gemmer Street in Travis (TX),Stray,Nursing,Cat,Intact Male,4 weeks,Domestic Shorthair,Black Smoke
A832619,*Turnip,4/16/2021 16:27,4/16/2021 16:27,6601 Rockridge Court in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Whippet Mix,Brown Brindle
A832622,,4/16/2021 16:10,4/16/2021 16:10,2102 Donahue Lane in Austin (TX),Abandoned,Normal,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832621,,4/16/2021 16:10,4/16/2021 16:10,2102 Donahue Lane in Austin (TX),Abandoned,Normal,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832620,,4/16/2021 16:10,4/16/2021 16:10,2102 Donahue Lane in Austin (TX),Abandoned,Normal,Dog,Intact Female,1 month,Black Mouth Cur Mix,Brown
A832623,Layla,4/16/2021 16:00,4/16/2021 16:00,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,Labrador Retriever Mix,Black/White
A830502,*Tootsie,4/16/2021 16:00,4/16/2021 16:00,Highway 71 And Woodward in Austin (TX),Stray,Normal,Dog,Spayed Female,3 months,Boxer Mix,Tricolor
A832617,,4/16/2021 15:42,4/16/2021 15:42,7809 Jotham Drive in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,German Shepherd,White/White
A832618,*Chai,4/16/2021 15:36,4/16/2021 15:36,2803 Loyola Street in Austin (TX),Stray,Normal,Dog,Intact Female,4 years,Pit Bull Mix,Brown/White
A811242,Hattie,4/16/2021 15:04,4/16/2021 15:04,Burnet (TX),Owner Surrender,Normal,Dog,Spayed Female,4 years,Pit Bull,Blue
A819560,Sam,4/16/2021 14:51,4/16/2021 14:51,Travis (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Pit Bull Mix,Brown Brindle/White
A827447,Pebbles,4/16/2021 14:46,4/16/2021 14:46,5225 North Lamar Boulevard in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Beagle/Catahoula,Tan/White
A832615,Buddah Bellie,4/16/2021 14:18,4/16/2021 14:18,Austin (TX),Owner Surrender,Sick,Cat,Intact Male,2 years,Domestic Shorthair,Brown Tabby/White
A832614,,4/16/2021 14:15,4/16/2021 14:15,East 51St Street And Marymount Drive in Austin (TX),Stray,Normal,Dog,Intact Female,1 month,Great Pyrenees Mix,White/Tan
A761382,Cash,4/16/2021 14:11,4/16/2021 14:11,Gertrudis Loop in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Chinese Sharpei Mix,Red
A832613,,4/16/2021 13:50,4/16/2021 13:50,2502 East Oltorf in Austin (TX),Stray,Normal,Cat,Intact Male,2 years,Domestic Shorthair Mix,Brown Tabby
A832612,*Simon,4/16/2021 13:36,4/16/2021 13:36,Bescott Drive And Ploverville Lane in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Pit Bull,Blue/White
A791205,Bear,4/16/2021 13:24,4/16/2021 13:24,1212 West Ben White in Austin (TX),Public Assist,Normal,Dog,Neutered Male,10 years,Pit Bull Mix,Black/White
A832611,*Chester,4/16/2021 13:17,4/16/2021 13:17,183 And Far West Boulevard in Austin (TX),Stray,Normal,Other,Intact Male,1 year,Rabbit Sh,White/Black
A832608,Sasha,4/16/2021 12:52,4/16/2021 12:52,William Cannon And Manchaca in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Pit Bull Mix,Blue/White
A832594,*Skipper,4/16/2021 12:40,4/16/2021 12:40,13525 Lipton Loop in Austin (TX),Stray,Normal,Other,Intact Male,2 years,Rabbit Sh,White/Brown
A832605,,4/16/2021 12:11,4/16/2021 12:11,Travis (TX),Wildlife,Sick,Other,Unknown,2 years,Fox,Gray
A832436,Floki,4/16/2021 10:53,4/16/2021 10:53,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,7 months,Catahoula Mix,Black/Gray
A832603,,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,German Shepherd Mix,Brown/White
A832599,,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Fawn/White
A832600,,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Fawn/Black
A832602,,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Male,2 months,Labrador Retriever Mix,Brown/Black
A832601,*Daphne - Event,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Brown/Black
A832598,*Naomi,4/16/2021 10:51,4/16/2021 10:51,51St Street And Manor Road in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Catahoula Mix,Brown Merle/White
A809823,Little Girl,4/16/2021 9:49,4/16/2021 9:49,1201 Payton Gin Road in Austin (TX),Stray,Normal,Dog,Intact Female,3 years,Basenji/Carolina Dog,White/Tan
A832591,,4/16/2021 7:48,4/16/2021 7:48,Peterson Road And Hokanson Road in Travis (TX),Stray,Sick,Dog,Intact Male,3 years,Great Pyrenees/German Shepherd,White/Black
A832583,Shadow,4/16/2021 0:11,4/16/2021 0:11,2508 East Riverside Drive in Austin (TX),Stray,Injured,Dog,Intact Male,10 years,Labrador Retriever,Black/White
A832582,,4/15/2021 19:26,4/15/2021 19:26,4600 West Guadalupe Street Building B in Austin (TX),Wildlife,Normal,Other,Unknown,2 years,Bat,Brown/Brown
A832579,Oscar,4/15/2021 17:17,4/15/2021 17:17,Austin (TX),Owner Surrender,Normal,Cat,Intact Male,7 months,Domestic Shorthair Mix,Brown Tabby
A832577,Vader,4/15/2021 17:12,4/15/2021 17:12,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,5 years,Siberian Husky Mix,White/Tan
A832581,Icy,4/15/2021 16:56,4/15/2021 16:56,Austin (TX),Public Assist,Normal,Dog,Intact Female,5 months,Pit Bull,Black/White
A832580,*Cake,4/15/2021 16:56,4/15/2021 16:56,Austin (TX),Public Assist,Normal,Dog,Intact Male,5 months,Pit Bull Mix,Black/White
A832574,*Kimchi,4/15/2021 16:48,4/15/2021 16:48,2209 Kinney Road in Austin (TX),Abandoned,Normal,Cat,Intact Female,2 years,Domestic Shorthair,Brown Tabby
A832573,Saydee,4/15/2021 16:35,4/15/2021 16:35,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Boxer Mix,Black/White
A832575,Olive Oil,4/15/2021 16:05,4/15/2021 16:05,13818 The Lakes in Travis (TX),Stray,Normal,Dog,Intact Female,2 years,Pit Bull Mix,Brown/White
A832219,,4/15/2021 15:50,4/15/2021 15:50,Cameron Road in Austin (TX),Stray,Normal,Dog,Intact Female,1 year,Rat Terrier Mix,Black/Tricolor
A832537,,4/15/2021 15:30,4/15/2021 15:30,1505 Lavaca Street in Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A832554,*Suzi,4/15/2021 15:30,4/15/2021 15:30,9201 Circuit Of The Americas Boulevard in Travis (TX),Stray,Normal,Dog,Intact Female,1 year,West Highland Mix,White
A832584,*Cooper,4/15/2021 15:30,4/15/2021 15:30,9201 Circuit Of The Americas Boulevard in Travis (TX),Stray,Normal,Dog,Intact Male,5 months,Labrador Retriever,Tan/Tan
A832553,*Franz,4/15/2021 15:30,4/15/2021 15:30,9201 Circuit Of The Americas Boulevard in Travis (TX),Stray,Normal,Dog,Intact Male,2 years,German Shepherd,White
A753552,Fatboy,4/15/2021 15:17,4/15/2021 15:17,2210 Red Fox in Austin (TX),Stray,Injured,Cat,Spayed Female,6 years,Domestic Shorthair Mix,White/Gray Tabby
A770094,Coco,4/15/2021 15:12,4/15/2021 15:12,1304 East St Johns Avenue in Austin (TX),Stray,Normal,Dog,Spayed Female,9 years,Labrador Retriever Mix,Black/Brown Brindle
A832570,Squiddle,4/15/2021 14:27,4/15/2021 14:27,7708 San Felipe in Austin (TX),Stray,Injured,Cat,Neutered Male,4 years,Domestic Medium Hair,Black
A832568,,4/15/2021 13:50,4/15/2021 13:50,Austin (TX),Wildlife,Normal,Other,Unknown,1 year,Bat,Brown
A781781,*Kawhi,4/15/2021 13:15,4/15/2021 13:15,8100 North Mopac Expressway in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,German Shepherd/Labrador Retriever,Black/White
A832243,Luna,4/15/2021 13:15,4/15/2021 13:15,8100 North Mopac Expressway in Austin (TX),Stray,Normal,Dog,Spayed Female,1 year,Labrador Retriever/German Shepherd,Brown/White
A832563,*Andy,4/15/2021 13:09,4/15/2021 13:09,Austin (TX),Stray,Injured,Dog,Intact Male,1 year,Border Collie,Chocolate/White
A832564,*Minnie,4/15/2021 13:05,4/15/2021 13:05,9401 Arboretum Boulevard in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Duck,Brown
A832565,*Moo,4/15/2021 13:05,4/15/2021 13:05,9401 Arboretum Boulevard in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Duck,Black/Yellow
A832562,*Ennie,4/15/2021 13:05,4/15/2021 13:05,9401 Arboretum Boulevard in Austin (TX),Stray,Normal,Bird,Unknown,4 weeks,Duck,Yellow
A693187,Popeye,4/15/2021 12:27,4/15/2021 12:27,2609 Rosewood Avenue in Austin (TX),Stray,Injured,Dog,Neutered Male,10 years,Yorkshire Terrier,Tan/Silver
A831178,Pupper,4/15/2021 12:23,4/15/2021 12:23,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,1 year,Pit Bull/Labrador Retriever,White/Tan
A832557,,4/15/2021 12:10,4/15/2021 12:10,4707 Wally Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
A832555,,4/15/2021 12:10,4/15/2021 12:10,4707 Wally Avenue in Austin (TX),Stray,Normal,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
A832556,,4/15/2021 12:10,4/15/2021 12:10,4707 Wally Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
A832558,,4/15/2021 12:10,4/15/2021 12:10,4707 Wally Avenue in Austin (TX),Stray,Normal,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Torbie
A825606,Oreo,4/15/2021 11:57,4/15/2021 11:57,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,8 months,Australian Cattle Dog,Black/White
A832550,,4/15/2021 11:28,4/15/2021 11:28,6402 Abilene Trail in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Shorthair Mix,Torbie/White
A832552,,4/15/2021 11:28,4/15/2021 11:28,6402 Abilene Trail in Austin (TX),Owner Surrender,Normal,Cat,Intact Female,1 month,Domestic Medium Hair Mix,Tortie
A832551,,4/15/2021 11:28,4/15/2021 11:28,6402 Abilene Trail in Austin (TX),Owner Surrender,Normal,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Orange Tabby
A832541,56 Grams,4/15/2021 10:10,4/15/2021 10:10,2610 Westover Road in Austin (TX),Stray,Normal,Cat,Intact Male,1 day,Domestic Shorthair,Blue
A832544,265 Grams,4/15/2021 9:51,4/15/2021 9:51,10702 Windy Trail Circle in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair,Gray
A832528,,4/14/2021 21:54,4/14/2021 21:54,9329 Northgate Boulevard in Austin (TX),Stray,Injured,Cat,Intact Female,4 weeks,Domestic Shorthair,Blue/Blue
A832523,,4/14/2021 18:08,4/14/2021 18:08,6106 Softwood in Austin (TX),Stray,Sick,Dog,Intact Female,7 years,Yorkshire Terrier,Brown/Black
A832522,Lilly,4/14/2021 17:46,4/14/2021 17:46,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
A832520,,4/14/2021 17:31,4/14/2021 17:31,10003 Derringer Trail in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,German Shepherd/Labrador Retriever,Tan
A832521,Adriel,4/14/2021 17:31,4/14/2021 17:31,10003 Derringer Trail in Austin (TX),Stray,Normal,Dog,Intact Female,2 months,Labrador Retriever Mix,Black
A832519,Keili,4/14/2021 17:31,4/14/2021 17:31,10003 Derringer Trail in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Australian Kelpie Mix,Tan/Black
A832518,Maximillian,4/14/2021 16:59,4/14/2021 16:59,Berkman Drive And Briarcliff in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,Labrador Retriever Mix,Black/White
A832517,*224 G,4/14/2021 16:44,4/14/2021 16:44,9609 Beck Circle in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Blue
A832514,,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A832512,,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A832515,,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White
A832511,*Theodosia,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Female,2 years,Siamese Mix,Chocolate Point
A832516,,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Female,2 weeks,Domestic Shorthair,Torbie
A832513,,4/14/2021 16:31,4/14/2021 16:31,7310 Providence Avenue in Austin (TX),Stray,Nursing,Cat,Intact Male,2 weeks,Domestic Shorthair,Black
A832510,Rufus,4/14/2021 16:27,4/14/2021 16:27,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,8 years,Pit Bull Mix,Tan/White
A832473,Sasha,4/14/2021 16:25,4/14/2021 16:25,12805 Buenos Aires Parkway in Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,1 year,Australian Kelpie/Cardigan Welsh Corgi,Black/Brown Brindle
A832484,Nicholas,4/14/2021 16:11,4/14/2021 16:11,Cameron Road And Weistheimer Drive in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Brown/White
A832508,Duchess,4/14/2021 15:27,4/14/2021 15:27,Austin (TX),Owner Surrender,Normal,Dog,Intact Female,2 years,German Shepherd/Siberian Husky,Black/Tan
A832501,,4/14/2021 15:20,4/14/2021 15:20,1500 East Parmer Lane in Austin (TX),Stray,Normal,Dog,Intact Male,1 month,Chihuahua Shorthair,Tan/Tan
A832499,Shirley,4/14/2021 15:19,4/14/2021 15:19,1500 East Parmer Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Black/Black
A832498,Stella,4/14/2021 15:18,4/14/2021 15:18,1500 East Parmer Lane in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Chihuahua Shorthair,Tan/Tan
A745344,Juna,4/14/2021 15:10,4/14/2021 15:10,Austin (TX),Owner Surrender,Normal,Dog,Spayed Female,6 years,Pit Bull Mix,White/Brown Brindle
A832506,,4/14/2021 14:44,4/14/2021 14:44,2719 Kentish Drive in Austin (TX),Stray,Normal,Cat,Neutered Male,1 year,Siamese,Flame Point
A832503,*209 G,4/14/2021 14:37,4/14/2021 14:37,5717 Palo Blanco Lane in Austin (TX),Stray,Nursing,Cat,Intact Male,1 week,Domestic Shorthair,Blue
A832502,*217 G,4/14/2021 14:37,4/14/2021 14:37,5717 Palo Blanco Lane in Austin (TX),Stray,Nursing,Cat,Intact Male,1 week,Domestic Shorthair,Blue
A832500,*237 G,4/14/2021 14:37,4/14/2021 14:37,5717 Palo Blanco Lane in Austin (TX),Stray,Nursing,Cat,Intact Male,1 week,Domestic Shorthair,Brown Tabby
A832490,,4/14/2021 13:40,4/14/2021 13:40,5717 Palo Blanco in Austin (TX),Stray,Injured,Cat,Intact Male,1 weeks,Domestic Shorthair Mix,Blue Tabby
A832488,,4/14/2021 13:18,4/14/2021 13:18,2711 South Ih 35 in Austin (TX),Abandoned,Normal,Dog,Intact Female,2 months,Jack Russell Terrier Mix,Tan/White
A832479,,4/14/2021 12:08,4/14/2021 12:08,12805 Grandifloras Cove in Travis (TX),Stray,Normal,Cat,Intact Male,3 years,Domestic Medium Hair Mix,Orange Tabby
A832474,,4/14/2021 11:58,4/14/2021 11:58,1006 Reno Drive in Austin (TX),Wildlife,Sick,Other,Unknown,3 years,Opossum,Gray/White
A832478,*Smoosh,4/14/2021 11:56,4/14/2021 11:56,1709 Highway 290 in Austin (TX),Stray,Normal,Cat,Intact Female,3 years,Exotic Shorthair,Tortie
A832475,,4/14/2021 11:46,4/14/2021 11:46,4512 Little Hill Circle in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,Jack Russell Terrier Mix,White/Brown
A832476,,4/14/2021 11:31,4/14/2021 11:31,14912 Fagerquist Road in Travis (TX),Stray,Normal,Dog,Intact Male,1 month,Anatol Shepherd/German Shepherd,Tan/Red
A832477,Cleo,4/14/2021 11:31,4/14/2021 11:31,14912 Fagerquist Road in Travis (TX),Stray,Normal,Dog,Intact Female,1 month,Anatol Shepherd/German Shepherd,Tan/Red
A832469,*Cosmo,4/14/2021 11:25,4/14/2021 11:25,Arctic Court And Point North Drive in Austin (TX),Stray,Normal,Dog,Intact Male,2 years,German Wirehaired Pointer/Labrador Retriever,White/Black
A832467,*Nova,4/14/2021 11:24,4/14/2021 11:24,Arctic Court And Point North Drive in Austin (TX),Stray,Normal,Dog,Intact Female,2 years,German Wirehaired Pointer/Labrador Retriever,White/Black
A832464,Randi,4/14/2021 9:56,4/14/2021 9:56,2321 Santa Maria Street in Austin (TX),Stray,Normal,Cat,Intact Female,1 year,Domestic Shorthair Mix,White/Black
A832460,Mint,4/14/2021 7:31,4/14/2021 7:31,1724 Colony Creek Drive in Austin (TX),Owner Surrender,Sick,Dog,Intact Female,2 months,Beagle/Pit Bull,White/Black
A832455,,4/13/2021 20:30,4/13/2021 20:30,10705 Creek View in Austin (TX),Wildlife,Sick,Other,Unknown,1 year,Skunk,Black/White
A832453,Charlie,4/13/2021 17:48,4/13/2021 17:48,7201 Levander Loop in Austin (TX),Abandoned,Normal,Cat,Spayed Female,7 years,Domestic Shorthair,Torbie
A792977,Mylo,4/13/2021 17:29,4/13/2021 17:29,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Tan
A832452,Poe,4/13/2021 17:05,4/13/2021 17:05,Austin (TX),Owner Surrender,Normal,Dog,Intact Male,7 months,Boxer/Pug,Brown Brindle/White
A832447,,4/13/2021 16:45,4/13/2021 16:45,605 Azie Morton Road in Austin (TX),Stray,Medical,Dog,Intact Male,4 years,Maltese Mix,Cream
A832446,Billy,4/13/2021 16:44,4/13/2021 16:44,605 Azie Morton Road in Austin (TX),Stray,Medical,Dog,Intact Male,4 years,Maltese Mix,White
A832442,*Sol,4/13/2021 16:44,4/13/2021 16:44,6111 Blue Stem Trail in Austin (TX),Stray,Normal,Dog,Neutered Male,4 years,Siberian Husky,White/Black
A795412,Murray,4/13/2021 16:43,4/13/2021 16:43,1820 West Stassney Lane in Austin (TX),Stray,Normal,Dog,Neutered Male,2 years,Pointer/Rat Terrier,White/Brown Brindle
A832432,*Sonya,4/13/2021 16:41,4/13/2021 16:41,7901 Ringsby Cove in Austin (TX),Stray,Injured,Dog,Intact Female,2 years,American Pit Bull Terrier/Labrador Retriever,Yellow
A805186,*Garbanzo,4/13/2021 16:31,4/13/2021 16:31,Austin (TX),Owner Surrender,Normal,Dog,Neutered Male,3 years,Pit Bull,Red/White
A832448,King T'Challa,4/13/2021 16:23,4/13/2021 16:23,Austin (TX),Owner Surrender,Sick,Cat,Spayed Female,3 years,Domestic Longhair,Black
A829801,River Rose,4/13/2021 16:22,4/13/2021 16:22,Manor (TX),Owner Surrender,Normal,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
A802050,Rascal,4/13/2021 15:28,4/13/2021 15:28,Elmira Road in Austin (TX),Public Assist,Normal,Dog,Neutered Male,3 years,Staffordshire Mix,White/Brown
A832444,*Moose,4/13/2021 15:20,4/13/2021 15:20,7630 Wood Hollow Drive in Austin (TX),Stray,Normal,Dog,Intact Male,7 months,Pit Bull/Great Dane,White/Black
A832445,Lilah,4/13/2021 15:20,4/13/2021 15:20,7630 Wood Hollow Drive in Austin (TX),Stray,Normal,Dog,Intact Female,7 months,Pointer/Great Dane,White/Black
